Article,Article Description
900000003350050025,FSV;1.74;CLS W;ZWEI;75;--;5.00;0.25
900000003350050000,FSV;1.74;CLS W;ZWEI;75;--;5.00;0.00
900000003350047200,FSV;1.74;CLS W;ZWEI;75;--;4.75;2.00
900000003350047175,FSV;1.74;CLS W;ZWEI;75;--;4.75;1.75
900000003350047150,FSV;1.74;CLS W;ZWEI;75;--;4.75;1.50
900000003350047125,FSV;1.74;CLS W;ZWEI;75;--;4.75;1.25
900000003350047100,FSV;1.74;CLS W;ZWEI;75;--;4.75;1.00
900000003350047075,FSV;1.74;CLS W;ZWEI;75;--;4.75;0.75
900000003350047050,FSV;1.74;CLS W;ZWEI;75;--;4.75;0.50
900000003350047025,FSV;1.74;CLS W;ZWEI;75;--;4.75;0.25
900000003350047000,FSV;1.74;CLS W;ZWEI;75;--;4.75;0.00
900000003350045200,FSV;1.74;CLS W;ZWEI;75;--;4.50;2.00
900000003350045175,FSV;1.74;CLS W;ZWEI;75;--;4.50;1.75
900000003350045150,FSV;1.74;CLS W;ZWEI;75;--;4.50;1.50
900000003350045125,FSV;1.74;CLS W;ZWEI;75;--;4.50;1.25
900000003350045100,FSV;1.74;CLS W;ZWEI;75;--;4.50;1.00
900000003350045075,FSV;1.74;CLS W;ZWEI;75;--;4.50;0.75
900000003350045050,FSV;1.74;CLS W;ZWEI;75;--;4.50;0.50
900000003350045025,FSV;1.74;CLS W;ZWEI;75;--;4.50;0.25
900000003350045000,FSV;1.74;CLS W;ZWEI;75;--;4.50;0.00
900000003350042200,FSV;1.74;CLS W;ZWEI;75;--;4.25;2.00
900000003350042175,FSV;1.74;CLS W;ZWEI;75;--;4.25;1.75
900000003350042150,FSV;1.74;CLS W;ZWEI;75;--;4.25;1.50
900000003350042125,FSV;1.74;CLS W;ZWEI;75;--;4.25;1.25
900000003350042100,FSV;1.74;CLS W;ZWEI;75;--;4.25;1.00
900000003350042075,FSV;1.74;CLS W;ZWEI;75;--;4.25;0.75
900000003350042050,FSV;1.74;CLS W;ZWEI;75;--;4.25;0.50
900000003350042025,FSV;1.74;CLS W;ZWEI;75;--;4.25;0.25
900000003350042000,FSV;1.74;CLS W;ZWEI;75;--;4.25;0.00
900000003350040200,FSV;1.74;CLS W;ZWEI;75;--;4.00;2.00
900000003350040175,FSV;1.74;CLS W;ZWEI;75;--;4.00;1.75
900000003350040150,FSV;1.74;CLS W;ZWEI;75;--;4.00;1.50
900000003350040125,FSV;1.74;CLS W;ZWEI;75;--;4.00;1.25
900000003350040100,FSV;1.74;CLS W;ZWEI;75;--;4.00;1.00
900000003350040075,FSV;1.74;CLS W;ZWEI;75;--;4.00;0.75
900000003350040050,FSV;1.74;CLS W;ZWEI;75;--;4.00;0.50
900000003350040025,FSV;1.74;CLS W;ZWEI;75;--;4.00;0.25
900000003350040000,FSV;1.74;CLS W;ZWEI;75;--;4.00;0.00
900000003350037200,FSV;1.74;CLS W;ZWEI;75;--;3.75;2.00
900000003350037175,FSV;1.74;CLS W;ZWEI;75;--;3.75;1.75
900000003350037150,FSV;1.74;CLS W;ZWEI;75;--;3.75;1.50
900000003350037125,FSV;1.74;CLS W;ZWEI;75;--;3.75;1.25
900000003350037100,FSV;1.74;CLS W;ZWEI;75;--;3.75;1.00
900000003350037075,FSV;1.74;CLS W;ZWEI;75;--;3.75;0.75
900000003350037050,FSV;1.74;CLS W;ZWEI;75;--;3.75;0.50
900000003350037025,FSV;1.74;CLS W;ZWEI;75;--;3.75;0.25
900000003350037000,FSV;1.74;CLS W;ZWEI;75;--;3.75;0.00
900000003350035200,FSV;1.74;CLS W;ZWEI;75;--;3.50;2.00
900000003350035175,FSV;1.74;CLS W;ZWEI;75;--;3.50;1.75
900000003350035150,FSV;1.74;CLS W;ZWEI;75;--;3.50;1.50
900000003350035125,FSV;1.74;CLS W;ZWEI;75;--;3.50;1.25
900000003350035100,FSV;1.74;CLS W;ZWEI;75;--;3.50;1.00
900000003350035075,FSV;1.74;CLS W;ZWEI;75;--;3.50;0.75
900000003350035050,FSV;1.74;CLS W;ZWEI;75;--;3.50;0.50
900000003350035025,FSV;1.74;CLS W;ZWEI;75;--;3.50;0.25
900000003350035000,FSV;1.74;CLS W;ZWEI;75;--;3.50;0.00
900000003350032200,FSV;1.74;CLS W;ZWEI;75;--;3.25;2.00
900000003350032175,FSV;1.74;CLS W;ZWEI;75;--;3.25;1.75
900000003350032150,FSV;1.74;CLS W;ZWEI;75;--;3.25;1.50
900000003350032125,FSV;1.74;CLS W;ZWEI;75;--;3.25;1.25
900000003350032100,FSV;1.74;CLS W;ZWEI;75;--;3.25;1.00
900000003350032075,FSV;1.74;CLS W;ZWEI;75;--;3.25;0.75
900000003350032050,FSV;1.74;CLS W;ZWEI;75;--;3.25;0.50
900000003350032025,FSV;1.74;CLS W;ZWEI;75;--;3.25;0.25
900000003350032000,FSV;1.74;CLS W;ZWEI;75;--;3.25;0.00
900000003350030200,FSV;1.74;CLS W;ZWEI;75;--;3.00;2.00
900000003350030175,FSV;1.74;CLS W;ZWEI;75;--;3.00;1.75
900000003350030150,FSV;1.74;CLS W;ZWEI;75;--;3.00;1.50
900000003350030125,FSV;1.74;CLS W;ZWEI;75;--;3.00;1.25
900000003350030100,FSV;1.74;CLS W;ZWEI;75;--;3.00;1.00
900000003350030075,FSV;1.74;CLS W;ZWEI;75;--;3.00;0.75
900000003350030050,FSV;1.74;CLS W;ZWEI;75;--;3.00;0.50
900000003350030025,FSV;1.74;CLS W;ZWEI;75;--;3.00;0.25
900000003350030000,FSV;1.74;CLS W;ZWEI;75;--;3.00;0.00
900000003350027200,FSV;1.74;CLS W;ZWEI;75;--;2.75;2.00
900000003350027175,FSV;1.74;CLS W;ZWEI;75;--;2.75;1.75
900000003350027150,FSV;1.74;CLS W;ZWEI;75;--;2.75;1.50
900000003350027125,FSV;1.74;CLS W;ZWEI;75;--;2.75;1.25
900000003350027100,FSV;1.74;CLS W;ZWEI;75;--;2.75;1.00
900000003350027075,FSV;1.74;CLS W;ZWEI;75;--;2.75;0.75
900000003350027050,FSV;1.74;CLS W;ZWEI;75;--;2.75;0.50
900000003350027025,FSV;1.74;CLS W;ZWEI;75;--;2.75;0.25
900000003350027000,FSV;1.74;CLS W;ZWEI;75;--;2.75;0.00
900000003350025200,FSV;1.74;CLS W;ZWEI;75;--;2.50;2.00
900000003350025175,FSV;1.74;CLS W;ZWEI;75;--;2.50;1.75
900000003350025150,FSV;1.74;CLS W;ZWEI;75;--;2.50;1.50
900000003350025125,FSV;1.74;CLS W;ZWEI;75;--;2.50;1.25
900000003350025100,FSV;1.74;CLS W;ZWEI;75;--;2.50;1.00
900000003350025075,FSV;1.74;CLS W;ZWEI;75;--;2.50;0.75
900000003350025050,FSV;1.74;CLS W;ZWEI;75;--;2.50;0.50
900000003350025025,FSV;1.74;CLS W;ZWEI;75;--;2.50;0.25
900000003350025000,FSV;1.74;CLS W;ZWEI;75;--;2.50;0.00
900000003350022200,FSV;1.74;CLS W;ZWEI;75;--;2.25;2.00
900000003350022175,FSV;1.74;CLS W;ZWEI;75;--;2.25;1.75
900000003350022150,FSV;1.74;CLS W;ZWEI;75;--;2.25;1.50
900000003350022125,FSV;1.74;CLS W;ZWEI;75;--;2.25;1.25
900000003350022100,FSV;1.74;CLS W;ZWEI;75;--;2.25;1.00
900000003350022075,FSV;1.74;CLS W;ZWEI;75;--;2.25;0.75
900000003350022050,FSV;1.74;CLS W;ZWEI;75;--;2.25;0.50
900000003350022025,FSV;1.74;CLS W;ZWEI;75;--;2.25;0.25
900000003350022000,FSV;1.74;CLS W;ZWEI;75;--;2.25;0.00
900000003350020200,FSV;1.74;CLS W;ZWEI;75;--;2.00;2.00
900000003350020175,FSV;1.74;CLS W;ZWEI;75;--;2.00;1.75
900000003350020150,FSV;1.74;CLS W;ZWEI;75;--;2.00;1.50
900000003350020125,FSV;1.74;CLS W;ZWEI;75;--;2.00;1.25
900000003350020100,FSV;1.74;CLS W;ZWEI;75;--;2.00;1.00
900000003350020075,FSV;1.74;CLS W;ZWEI;75;--;2.00;0.75
900000003350020050,FSV;1.74;CLS W;ZWEI;75;--;2.00;0.50
900000003350020025,FSV;1.74;CLS W;ZWEI;75;--;2.00;0.25
900000003350020000,FSV;1.74;CLS W;ZWEI;75;--;2.00;0.00
900000003340097200,FSV;1.74;CLS W;ZWEI;70;--;9.75;2.00
900000003340097175,FSV;1.74;CLS W;ZWEI;70;--;9.75;1.75
900000003340097150,FSV;1.74;CLS W;ZWEI;70;--;9.75;1.50
900000003340097125,FSV;1.74;CLS W;ZWEI;70;--;9.75;1.25
900000003340097100,FSV;1.74;CLS W;ZWEI;70;--;9.75;1.00
900000003340097075,FSV;1.74;CLS W;ZWEI;70;--;9.75;0.75
900000003340097050,FSV;1.74;CLS W;ZWEI;70;--;9.75;0.50
900000003340097025,FSV;1.74;CLS W;ZWEI;70;--;9.75;0.25
900000003340097000,FSV;1.74;CLS W;ZWEI;70;--;9.75;0.00
900000003340095200,FSV;1.74;CLS W;ZWEI;70;--;9.50;2.00
900000003340095175,FSV;1.74;CLS W;ZWEI;70;--;9.50;1.75
900000003340095150,FSV;1.74;CLS W;ZWEI;70;--;9.50;1.50
900000003340095125,FSV;1.74;CLS W;ZWEI;70;--;9.50;1.25
900000003340095100,FSV;1.74;CLS W;ZWEI;70;--;9.50;1.00
900000003340095075,FSV;1.74;CLS W;ZWEI;70;--;9.50;0.75
900000003340095050,FSV;1.74;CLS W;ZWEI;70;--;9.50;0.50
900000003340095025,FSV;1.74;CLS W;ZWEI;70;--;9.50;0.25
900000003340095000,FSV;1.74;CLS W;ZWEI;70;--;9.50;0.00
900000003340092200,FSV;1.74;CLS W;ZWEI;70;--;9.25;2.00
900000003340092175,FSV;1.74;CLS W;ZWEI;70;--;9.25;1.75
900000003340092150,FSV;1.74;CLS W;ZWEI;70;--;9.25;1.50
900000003340092125,FSV;1.74;CLS W;ZWEI;70;--;9.25;1.25
900000003340092100,FSV;1.74;CLS W;ZWEI;70;--;9.25;1.00
900000003340092075,FSV;1.74;CLS W;ZWEI;70;--;9.25;0.75
900000003340092050,FSV;1.74;CLS W;ZWEI;70;--;9.25;0.50
900000003340092025,FSV;1.74;CLS W;ZWEI;70;--;9.25;0.25
900000003340092000,FSV;1.74;CLS W;ZWEI;70;--;9.25;0.00
900000003340090200,FSV;1.74;CLS W;ZWEI;70;--;9.00;2.00
900000003340090175,FSV;1.74;CLS W;ZWEI;70;--;9.00;1.75
900000003340090150,FSV;1.74;CLS W;ZWEI;70;--;9.00;1.50
900000003340090125,FSV;1.74;CLS W;ZWEI;70;--;9.00;1.25
900000003340090100,FSV;1.74;CLS W;ZWEI;70;--;9.00;1.00
900000003340090075,FSV;1.74;CLS W;ZWEI;70;--;9.00;0.75
900000003340090050,FSV;1.74;CLS W;ZWEI;70;--;9.00;0.50
900000003340090025,FSV;1.74;CLS W;ZWEI;70;--;9.00;0.25
900000003340090000,FSV;1.74;CLS W;ZWEI;70;--;9.00;0.00
900000003340087200,FSV;1.74;CLS W;ZWEI;70;--;8.75;2.00
900000003340087175,FSV;1.74;CLS W;ZWEI;70;--;8.75;1.75
900000003340087150,FSV;1.74;CLS W;ZWEI;70;--;8.75;1.50
900000003340087125,FSV;1.74;CLS W;ZWEI;70;--;8.75;1.25
900000003340087100,FSV;1.74;CLS W;ZWEI;70;--;8.75;1.00
900000003340087075,FSV;1.74;CLS W;ZWEI;70;--;8.75;0.75
900000003340087050,FSV;1.74;CLS W;ZWEI;70;--;8.75;0.50
900000003340087025,FSV;1.74;CLS W;ZWEI;70;--;8.75;0.25
900000003340087000,FSV;1.74;CLS W;ZWEI;70;--;8.75;0.00
900000003340085200,FSV;1.74;CLS W;ZWEI;70;--;8.50;2.00
900000003340085175,FSV;1.74;CLS W;ZWEI;70;--;8.50;1.75
900000003340085150,FSV;1.74;CLS W;ZWEI;70;--;8.50;1.50
900000003340085125,FSV;1.74;CLS W;ZWEI;70;--;8.50;1.25
900000003340085100,FSV;1.74;CLS W;ZWEI;70;--;8.50;1.00
900000003340085075,FSV;1.74;CLS W;ZWEI;70;--;8.50;0.75
900000003340085050,FSV;1.74;CLS W;ZWEI;70;--;8.50;0.50
900000003340085025,FSV;1.74;CLS W;ZWEI;70;--;8.50;0.25
900000003340085000,FSV;1.74;CLS W;ZWEI;70;--;8.50;0.00
900000003340082200,FSV;1.74;CLS W;ZWEI;70;--;8.25;2.00
900000003340082175,FSV;1.74;CLS W;ZWEI;70;--;8.25;1.75
900000003340082150,FSV;1.74;CLS W;ZWEI;70;--;8.25;1.50
900000003340082125,FSV;1.74;CLS W;ZWEI;70;--;8.25;1.25
900000003340082100,FSV;1.74;CLS W;ZWEI;70;--;8.25;1.00
900000003340082075,FSV;1.74;CLS W;ZWEI;70;--;8.25;0.75
900000003340082050,FSV;1.74;CLS W;ZWEI;70;--;8.25;0.50
900000003340082025,FSV;1.74;CLS W;ZWEI;70;--;8.25;0.25
900000003340082000,FSV;1.74;CLS W;ZWEI;70;--;8.25;0.00
900000003340080200,FSV;1.74;CLS W;ZWEI;70;--;8.00;2.00
900000003340080175,FSV;1.74;CLS W;ZWEI;70;--;8.00;1.75
900000003340080150,FSV;1.74;CLS W;ZWEI;70;--;8.00;1.50
900000003340080125,FSV;1.74;CLS W;ZWEI;70;--;8.00;1.25
900000003340080100,FSV;1.74;CLS W;ZWEI;70;--;8.00;1.00
900000003340080075,FSV;1.74;CLS W;ZWEI;70;--;8.00;0.75
900000003340080050,FSV;1.74;CLS W;ZWEI;70;--;8.00;0.50
900000003340080025,FSV;1.74;CLS W;ZWEI;70;--;8.00;0.25
900000003340080000,FSV;1.74;CLS W;ZWEI;70;--;8.00;0.00
900000003340077200,FSV;1.74;CLS W;ZWEI;70;--;7.75;2.00
900000003340077175,FSV;1.74;CLS W;ZWEI;70;--;7.75;1.75
900000003340077150,FSV;1.74;CLS W;ZWEI;70;--;7.75;1.50
900000003340077125,FSV;1.74;CLS W;ZWEI;70;--;7.75;1.25
900000003340077100,FSV;1.74;CLS W;ZWEI;70;--;7.75;1.00
900000003340077075,FSV;1.74;CLS W;ZWEI;70;--;7.75;0.75
900000003340077050,FSV;1.74;CLS W;ZWEI;70;--;7.75;0.50
900000003340077025,FSV;1.74;CLS W;ZWEI;70;--;7.75;0.25
900000003340077000,FSV;1.74;CLS W;ZWEI;70;--;7.75;0.00
900000003340075200,FSV;1.74;CLS W;ZWEI;70;--;7.50;2.00
900000003340075175,FSV;1.74;CLS W;ZWEI;70;--;7.50;1.75
900000003340075150,FSV;1.74;CLS W;ZWEI;70;--;7.50;1.50
900000003340075125,FSV;1.74;CLS W;ZWEI;70;--;7.50;1.25
900000003340075100,FSV;1.74;CLS W;ZWEI;70;--;7.50;1.00
900000003340075075,FSV;1.74;CLS W;ZWEI;70;--;7.50;0.75
900000003340075050,FSV;1.74;CLS W;ZWEI;70;--;7.50;0.50
900000003340075025,FSV;1.74;CLS W;ZWEI;70;--;7.50;0.25
900000003340075000,FSV;1.74;CLS W;ZWEI;70;--;7.50;0.00
900000003340072200,FSV;1.74;CLS W;ZWEI;70;--;7.25;2.00
900000003340072175,FSV;1.74;CLS W;ZWEI;70;--;7.25;1.75
900000003340072150,FSV;1.74;CLS W;ZWEI;70;--;7.25;1.50
900000003340072125,FSV;1.74;CLS W;ZWEI;70;--;7.25;1.25
900000003340072100,FSV;1.74;CLS W;ZWEI;70;--;7.25;1.00
900000003340072075,FSV;1.74;CLS W;ZWEI;70;--;7.25;0.75
900000003340072050,FSV;1.74;CLS W;ZWEI;70;--;7.25;0.50
900000003340072025,FSV;1.74;CLS W;ZWEI;70;--;7.25;0.25
900000003340072000,FSV;1.74;CLS W;ZWEI;70;--;7.25;0.00
900000003340070200,FSV;1.74;CLS W;ZWEI;70;--;7.00;2.00
900000003340070175,FSV;1.74;CLS W;ZWEI;70;--;7.00;1.75
900000003340070150,FSV;1.74;CLS W;ZWEI;70;--;7.00;1.50
900000003340070125,FSV;1.74;CLS W;ZWEI;70;--;7.00;1.25
900000003340070100,FSV;1.74;CLS W;ZWEI;70;--;7.00;1.00
900000003340070075,FSV;1.74;CLS W;ZWEI;70;--;7.00;0.75
900000003340070050,FSV;1.74;CLS W;ZWEI;70;--;7.00;0.50
900000003340070025,FSV;1.74;CLS W;ZWEI;70;--;7.00;0.25
900000003340070000,FSV;1.74;CLS W;ZWEI;70;--;7.00;0.00
900000003340067200,FSV;1.74;CLS W;ZWEI;70;--;6.75;2.00
900000003340067175,FSV;1.74;CLS W;ZWEI;70;--;6.75;1.75
900000003340067150,FSV;1.74;CLS W;ZWEI;70;--;6.75;1.50
900000003340067125,FSV;1.74;CLS W;ZWEI;70;--;6.75;1.25
900000003340067100,FSV;1.74;CLS W;ZWEI;70;--;6.75;1.00
900000003340067075,FSV;1.74;CLS W;ZWEI;70;--;6.75;0.75
900000003340067050,FSV;1.74;CLS W;ZWEI;70;--;6.75;0.50
900000003340067025,FSV;1.74;CLS W;ZWEI;70;--;6.75;0.25
900000003340067000,FSV;1.74;CLS W;ZWEI;70;--;6.75;0.00
900000003340065200,FSV;1.74;CLS W;ZWEI;70;--;6.50;2.00
900000003340065175,FSV;1.74;CLS W;ZWEI;70;--;6.50;1.75
900000003340065150,FSV;1.74;CLS W;ZWEI;70;--;6.50;1.50
900000003340065125,FSV;1.74;CLS W;ZWEI;70;--;6.50;1.25
900000003340065100,FSV;1.74;CLS W;ZWEI;70;--;6.50;1.00
900000003340065075,FSV;1.74;CLS W;ZWEI;70;--;6.50;0.75
900000003340065050,FSV;1.74;CLS W;ZWEI;70;--;6.50;0.50
900000003340065025,FSV;1.74;CLS W;ZWEI;70;--;6.50;0.25
900000003340065000,FSV;1.74;CLS W;ZWEI;70;--;6.50;0.00
900000003340062200,FSV;1.74;CLS W;ZWEI;70;--;6.25;2.00
900000003340062175,FSV;1.74;CLS W;ZWEI;70;--;6.25;1.75
900000003340062150,FSV;1.74;CLS W;ZWEI;70;--;6.25;1.50
900000003340062125,FSV;1.74;CLS W;ZWEI;70;--;6.25;1.25
900000003340062075,FSV;1.74;CLS W;ZWEI;70;--;6.25;0.75
900000003340062050,FSV;1.74;CLS W;ZWEI;70;--;6.25;0.50
900000003340062025,FSV;1.74;CLS W;ZWEI;70;--;6.25;0.25
900000003340062000,FSV;1.74;CLS W;ZWEI;70;--;6.25;0.00
900000003340100200,FSV;1.74;CLS W;ZWEI;70;--;10.00;2.00
900000003340100175,FSV;1.74;CLS W;ZWEI;70;--;10.00;1.75
900000003340100150,FSV;1.74;CLS W;ZWEI;70;--;10.00;1.50
900000003340100125,FSV;1.74;CLS W;ZWEI;70;--;10.00;1.25
900000003340100100,FSV;1.74;CLS W;ZWEI;70;--;10.00;1.00
900000003340100075,FSV;1.74;CLS W;ZWEI;70;--;10.00;0.75
900000003340100050,FSV;1.74;CLS W;ZWEI;70;--;10.00;0.50
900000003340100025,FSV;1.74;CLS W;ZWEI;70;--;10.00;0.25
900000003340100000,FSV;1.74;CLS W;ZWEI;70;--;10.00;0.00
900000003340062100,FSV;1.74;ADV W;Zwei;70;--;6.25;1.00
900000003850080200,FSV;1.74; FWD W;ZWEI;75;--;8.00;2.00
900000003850080175,FSV;1.74; FWD W;ZWEI;75;--;8.00;1.75
900000003850080150,FSV;1.74; FWD W;ZWEI;75;--;8.00;1.50
900000003850080125,FSV;1.74; FWD W;ZWEI;75;--;8.00;1.25
900000003850080100,FSV;1.74; FWD W;ZWEI;75;--;8.00;1.00
900000003850080075,FSV;1.74; FWD W;ZWEI;75;--;8.00;0.75
900000003850080050,FSV;1.74; FWD W;ZWEI;75;--;8.00;0.50
900000003850080025,FSV;1.74; FWD W;ZWEI;75;--;8.00;0.25
900000003850080000,FSV;1.74; FWD W;ZWEI;75;--;8.00;0.00
900000003850077200,FSV;1.74; FWD W;ZWEI;75;--;7.75;2.00
900000003850077175,FSV;1.74; FWD W;ZWEI;75;--;7.75;1.75
900000003850077150,FSV;1.74; FWD W;ZWEI;75;--;7.75;1.50
900000003850077125,FSV;1.74; FWD W;ZWEI;75;--;7.75;1.25
900000003850077100,FSV;1.74; FWD W;ZWEI;75;--;7.75;1.00
900000003850077075,FSV;1.74; FWD W;ZWEI;75;--;7.75;0.75
900000003850077050,FSV;1.74; FWD W;ZWEI;75;--;7.75;0.50
900000003850077025,FSV;1.74; FWD W;ZWEI;75;--;7.75;0.25
900000003850077000,FSV;1.74; FWD W;ZWEI;75;--;7.75;0.00
900000003850075200,FSV;1.74; FWD W;ZWEI;75;--;7.50;2.00
900000003850075175,FSV;1.74; FWD W;ZWEI;75;--;7.50;1.75
900000003850075150,FSV;1.74; FWD W;ZWEI;75;--;7.50;1.50
900000003850075125,FSV;1.74; FWD W;ZWEI;75;--;7.50;1.25
900000003850075100,FSV;1.74; FWD W;ZWEI;75;--;7.50;1.00
900000003850075075,FSV;1.74; FWD W;ZWEI;75;--;7.50;0.75
900000003850075050,FSV;1.74; FWD W;ZWEI;75;--;7.50;0.50
900000003850075025,FSV;1.74; FWD W;ZWEI;75;--;7.50;0.25
900000003850075000,FSV;1.74; FWD W;ZWEI;75;--;7.50;0.00
900000003850072200,FSV;1.74; FWD W;ZWEI;75;--;7.25;2.00
900000003850072175,FSV;1.74; FWD W;ZWEI;75;--;7.25;1.75
900000003850072150,FSV;1.74; FWD W;ZWEI;75;--;7.25;1.50
900000003850072125,FSV;1.74; FWD W;ZWEI;75;--;7.25;1.25
900000003850072100,FSV;1.74; FWD W;ZWEI;75;--;7.25;1.00
900000003850072075,FSV;1.74; FWD W;ZWEI;75;--;7.25;0.75
900000003850072050,FSV;1.74; FWD W;ZWEI;75;--;7.25;0.50
900000003850072025,FSV;1.74; FWD W;ZWEI;75;--;7.25;0.25
900000003850072000,FSV;1.74; FWD W;ZWEI;75;--;7.25;0.00
900000003850070200,FSV;1.74; FWD W;ZWEI;75;--;7.00;2.00
900000003850070175,FSV;1.74; FWD W;ZWEI;75;--;7.00;1.75
900000003850070150,FSV;1.74; FWD W;ZWEI;75;--;7.00;1.50
900000003850070125,FSV;1.74; FWD W;ZWEI;75;--;7.00;1.25
900000003850070100,FSV;1.74; FWD W;ZWEI;75;--;7.00;1.00
900000003850070075,FSV;1.74; FWD W;ZWEI;75;--;7.00;0.75
900000003850070050,FSV;1.74; FWD W;ZWEI;75;--;7.00;0.50
900000003850070025,FSV;1.74; FWD W;ZWEI;75;--;7.00;0.25
900000003850070000,FSV;1.74; FWD W;ZWEI;75;--;7.00;0.00
900000003850067200,FSV;1.74; FWD W;ZWEI;75;--;6.75;2.00
900000003850067175,FSV;1.74; FWD W;ZWEI;75;--;6.75;1.75
900000003850067150,FSV;1.74; FWD W;ZWEI;75;--;6.75;1.50
900000003850067125,FSV;1.74; FWD W;ZWEI;75;--;6.75;1.25
900000003850067100,FSV;1.74; FWD W;ZWEI;75;--;6.75;1.00
900000003850067075,FSV;1.74; FWD W;ZWEI;75;--;6.75;0.75
900000003850067050,FSV;1.74; FWD W;ZWEI;75;--;6.75;0.50
900000003850067025,FSV;1.74; FWD W;ZWEI;75;--;6.75;0.25
900000003850067000,FSV;1.74; FWD W;ZWEI;75;--;6.75;0.00
900000003850065200,FSV;1.74; FWD W;ZWEI;75;--;6.50;2.00
900000003850065175,FSV;1.74; FWD W;ZWEI;75;--;6.50;1.75
900000003850065150,FSV;1.74; FWD W;ZWEI;75;--;6.50;1.50
900000003850065125,FSV;1.74; FWD W;ZWEI;75;--;6.50;1.25
900000003850065100,FSV;1.74; FWD W;ZWEI;75;--;6.50;1.00
900000003850065075,FSV;1.74; FWD W;ZWEI;75;--;6.50;0.75
900000003850065050,FSV;1.74; FWD W;ZWEI;75;--;6.50;0.50
900000003850065025,FSV;1.74; FWD W;ZWEI;75;--;6.50;0.25
900000003850065000,FSV;1.74; FWD W;ZWEI;75;--;6.50;0.00
900000003850062200,FSV;1.74; FWD W;ZWEI;75;--;6.25;2.00
900000003850062175,FSV;1.74; FWD W;ZWEI;75;--;6.25;1.75
900000003850062150,FSV;1.74; FWD W;ZWEI;75;--;6.25;1.50
900000003850062125,FSV;1.74; FWD W;ZWEI;75;--;6.25;1.25
900000003850062100,FSV;1.74; FWD W;ZWEI;75;--;6.25;1.00
900000003850062075,FSV;1.74; FWD W;ZWEI;75;--;6.25;0.75
900000003850062050,FSV;1.74; FWD W;ZWEI;75;--;6.25;0.50
900000003850062025,FSV;1.74; FWD W;ZWEI;75;--;6.25;0.25
900000003850062000,FSV;1.74; FWD W;ZWEI;75;--;6.25;0.00
900000003850060200,FSV;1.74; FWD W;ZWEI;75;--;6.00;2.00
900000003850060175,FSV;1.74; FWD W;ZWEI;75;--;6.00;1.75
900000003850060150,FSV;1.74; FWD W;ZWEI;75;--;6.00;1.50
900000003850060125,FSV;1.74; FWD W;ZWEI;75;--;6.00;1.25
900000003850060100,FSV;1.74; FWD W;ZWEI;75;--;6.00;1.00
900000003850060075,FSV;1.74; FWD W;ZWEI;75;--;6.00;0.75
900000003850060050,FSV;1.74; FWD W;ZWEI;75;--;6.00;0.50
900000003850060025,FSV;1.74; FWD W;ZWEI;75;--;6.00;0.25
900000003850060000,FSV;1.74; FWD W;ZWEI;75;--;6.00;0.00
900000003850057200,FSV;1.74; FWD W;ZWEI;75;--;5.75;2.00
900000003850057175,FSV;1.74; FWD W;ZWEI;75;--;5.75;1.75
900000003850057150,FSV;1.74; FWD W;ZWEI;75;--;5.75;1.50
900000003850057125,FSV;1.74; FWD W;ZWEI;75;--;5.75;1.25
900000003850057100,FSV;1.74; FWD W;ZWEI;75;--;5.75;1.00
900000003850057075,FSV;1.74; FWD W;ZWEI;75;--;5.75;0.75
900000003850057050,FSV;1.74; FWD W;ZWEI;75;--;5.75;0.50
900000003850057025,FSV;1.74; FWD W;ZWEI;75;--;5.75;0.25
900000003850057000,FSV;1.74; FWD W;ZWEI;75;--;5.75;0.00
900000003850055200,FSV;1.74; FWD W;ZWEI;75;--;5.50;2.00
900000003850055175,FSV;1.74; FWD W;ZWEI;75;--;5.50;1.75
900000003850055150,FSV;1.74; FWD W;ZWEI;75;--;5.50;1.50
900000003850055125,FSV;1.74; FWD W;ZWEI;75;--;5.50;1.25
900000003850055100,FSV;1.74; FWD W;ZWEI;75;--;5.50;1.00
900000003850055075,FSV;1.74; FWD W;ZWEI;75;--;5.50;0.75
900000003850055050,FSV;1.74; FWD W;ZWEI;75;--;5.50;0.50
900000003850055025,FSV;1.74; FWD W;ZWEI;75;--;5.50;0.25
900000003850055000,FSV;1.74; FWD W;ZWEI;75;--;5.50;0.00
900000003850052200,FSV;1.74; FWD W;ZWEI;75;--;5.25;2.00
900000003850052175,FSV;1.74; FWD W;ZWEI;75;--;5.25;1.75
900000003850052150,FSV;1.74; FWD W;ZWEI;75;--;5.25;1.50
900000003850052125,FSV;1.74; FWD W;ZWEI;75;--;5.25;1.25
900000003850052100,FSV;1.74; FWD W;ZWEI;75;--;5.25;1.00
900000003850052075,FSV;1.74; FWD W;ZWEI;75;--;5.25;0.75
900000003850052050,FSV;1.74; FWD W;ZWEI;75;--;5.25;0.50
900000003850052025,FSV;1.74; FWD W;ZWEI;75;--;5.25;0.25
900000003850052000,FSV;1.74; FWD W;ZWEI;75;--;5.25;0.00
900000003850050200,FSV;1.74; FWD W;ZWEI;75;--;5.00;2.00
900000003850050175,FSV;1.74; FWD W;ZWEI;75;--;5.00;1.75
900000003850050150,FSV;1.74; FWD W;ZWEI;75;--;5.00;1.50
900000003850050125,FSV;1.74; FWD W;ZWEI;75;--;5.00;1.25
900000003850050100,FSV;1.74; FWD W;ZWEI;75;--;5.00;1.00
900000003850050075,FSV;1.74; FWD W;ZWEI;75;--;5.00;0.75
